,Unnamed: 0,Country,Cases,Population_2016,gdpPerCapita,Tourism,Pop_Density,Literacy,Rank,Median_Age,Male_Med,Female_Med,Health_Exp,Temperature,Severity,Population
0,1,Italy,4636,60600590,34574.7083,61567200.0,193.0,98.6,5,45.5,44.4,46.5,2700.0,13.45,100,60600590
1,2,Germany,670,82667685,49617.145,38881000.0,230.9,99.0,3,47.1,46.0,48.2,4592.0,8.5,100,82667685
2,3,France,653,66896109,44061.5183,89322000.0,111.3,99.0,40,41.4,39.6,43.1,4026.0,10.7,100,66896109
3,4,Japan,420,126994511,43450.1405,31192000.0,337.4,99.0,2,47.3,46.0,48.7,3733.0,11.15,100,126994511
4,5,Spain,402,46443959,32019.8291,82773000.0,80.0,97.9,23,42.7,41.5,43.9,2354.0,13.3,100,46443959
5,6,Switzerland,214,8372098,85584.5582,10362000.0,182.2,99.0,27,42.4,41.4,43.4,9818.0,5.5,100,8372098
6,7,Sweden,137,9903122,57105.1458,7440000.0,20.0,99.0,41,41.2,40.2,42.2,5600.0,2.1,100,9903122
7,8,Singapore,130,5607283,66983.2635,14673000.0,6482.2,92.5,83,34.6,34.5,34.7,2280.0,26.45,100,5607283
8,9,Netherlands,128,17018408,55730.2675,18780000.0,397.1,99.0,24,42.6,41.5,43.6,4746.0,9.25,100,17018408
9,10,Norway,127,5232929,80908.2275,5688000.0,14.2,100.0,57,39.2,38.4,40.0,7464.0,1.5,100,5232929
10,11,Belgium,109,11348159,47782.4861,9119000.0,340.0,98.0,39,41.4,40.2,42.7,4228.0,9.55,100,11348159
11,12,Malaysia,83,31187265,12419.9781,25832000.0,74.0,88.7,131,28.5,28.2,28.8,386.0,25.4,0,31187265
12,13,Austria,66,8747358,53481.7582,30816000.0,97.7,98.0,13,44.0,42.8,45.1,4536.0,6.35,0,8747358
13,14,Australia,64,24127159,58096.7349,9246000.0,2.6,100.0,58,38.7,37.9,39.5,4934.0,21.65,0,24127159
14,15,Bahrain,60,1425171,23923.13,12045000.0,1050.5,89.1,99,32.3,33.8,29.5,1190.0,27.15,0,1425171
15,16,Kuwait,58,4052584,33484.7495,8508000.0,135.7,83.5,124,29.3,30.4,27.4,1169.0,25.35,0,4052584
16,17,Canada,54,36286425,48552.8727,21134000.0,3.3,97.0,29,42.2,40.9,43.5,4508.0,-5.35,0,36286425
17,18,Thailand,48,68863514,7842.8535,38178000.0,125.7,92.6,66,37.7,36.6,38.7,217.0,26.3,0,68863514
18,20,Iceland,45,334252,78597.9493,2343800.0,2.9,99.9,70,36.5,35.9,37.1,4375.0,1.75,0,334252
19,21,Greece,45,10746740,22114.4398,30123000.0,81.0,97.5,6,44.5,43.5,45.6,1505.0,15.4,0,10746740
20,22,India,31,1324171354,2360.6592,17423000.0,333.2,59.5,141,28.1,27.2,28.6,63.0,23.65,0,1324171354
21,23,Denmark,23,5731118,62937.3768,12749000.0,126.5,100.0,30,42.2,41.2,43.2,5497.0,7.5,0,5731118
22,24,Lebanon,22,6006668,8881.4722,1964000.0,372.5,87.4,118,30.5,29.9,31.1,645.0,16.4,0,6006668
23,25,Israel,21,8547100,46670.8297,4121000.0,305.8,95.4,119,29.9,29.3,30.6,2756.0,19.2,0,8547100
24,26,Ireland,18,4773095,82058.0317,10926000.0,57.8,98.0,69,36.8,36.4,37.1,4757.0,9.3,0,4773095
25,28,Algeria,17,40606052,4402.5406,2657000.0,13.8,70.0,136,28.1,27.8,28.4,292.0,22.5,0,40606052
26,29,Oman,16,4424762,16480.1573,2301000.0,14.6,75.8,153,25.6,26.6,24.2,636.0,25.6,0,4424762
27,30,Finland,15,5495096,52203.1433,3224000.0,15.5,100.0,26,42.5,40.9,44.3,4005.0,1.7,0,5495096
28,31,Ecuador,14,16385068,6106.0857,2535000.0,47.8,92.5,143,27.7,27.0,28.4,530.0,21.85,0,16385068
29,32,Brazil,14,207652865,9703.1693,6621000.0,22.1,86.4,103,32.6,31.1,32.8,780.0,24.95,0,207652865
30,33,Portugal,13,10324611,24509.0843,16186000.0,114.8,93.3,31,42.2,40.2,44.4,1722.0,15.15,0,10324611
31,34,Qatar,11,2569804,70810.2211,1819300.0,77.4,82.5,90,33.2,34.3,28.1,2030.0,27.15,0,2569804
32,35,Croatia,11,4170600,15733.4468,16645000.0,79.5,98.5,19,43.0,41.1,45.0,852.0,10.9,0,4170600
33,36,Estonia,10,1316481,25053.9941,3234000.0,29.3,99.8,22,42.7,39.4,46.1,1112.0,5.1,0,1316481
34,37,Romania,9,19705301,13677.9929,11720000.0,93.9,98.4,42,41.1,39.7,42.6,442.0,8.8,0,19705301
35,38,Georgia,9,3719300,4734.8231,4757000.0,66.9,99.0,60,38.1,35.3,40.9,281.0,5.8,0,3719300
36,39,Azerbaijan,9,9762274,4677.7958,2633000.0,91.9,97.0,107,31.3,29.8,33.0,368.0,11.95,0,9762274
37,40,Slovenia,8,2064845,28001.3161,4425000.0,99.2,99.7,7,44.5,42.8,46.2,1772.0,8.9,0,2064845
38,41,Argentina,8,43847430,11402.6811,6942000.0,14.4,97.1,105,31.7,30.5,32.9,998.0,14.8,0,43847430
39,43,Mexico,6,127540423,10065.3245,41313000.0,54.5,92.2,133,28.3,27.2,29.4,535.0,21.0,0,127540423
40,44,Belarus,6,9507120,6737.4139,11501600.0,49.6,99.6,51,40.0,37.1,43.1,352.0,6.15,0,9507120
41,45,Poland,5,37948016,16996.8719,19622000.0,123.3,99.8,46,40.7,39.0,42.4,797.0,7.85,0,37948016
42,46,Philippines,5,103320222,3550.321,7168000.0,298.2,92.6,169,23.5,23.1,24.0,127.0,25.85,0,103320222
43,47,Chile,5,17909754,16402.893,5723000.0,21.3,96.2,85,34.4,33.2,35.6,1102.0,8.45,0,17909754
44,49,Indonesia,4,261115456,4419.5818,15810000.0,127.9,87.9,117,30.2,29.6,30.8,112.0,25.85,0,261115456
45,50,Hungary,4,9817958,18398.2963,17552000.0,107.3,99.4,28,42.3,40.4,44.3,894.0,9.75,0,9817958
46,51,Luxembourg,3,582972,117724.5846,1018000.0,183.5,100.0,54,39.3,38.7,39.9,6236.0,8.65,0,582972
47,52,Morocco,2,35276786,3496.452,12289000.0,74.4,51.7,125,29.3,28.6,29.9,160.0,17.1,0,35276786
48,54,Ukraine,1,45004645,3365.1347,14104000.0,77.4,99.7,48,40.6,37.4,43.7,125.0,8.3,0,45004645
49,55,Tunisia,1,11403248,2974.1207,8299000.0,62.2,74.2,97,31.6,31.0,32.2,258.0,19.2,0,11403248
50,56,Togo,1,7606374,740.6939,573000.0,97.7,60.9,194,19.8,19.5,20.1,37.0,27.15,0,7606374
51,57,Serbia,1,7057412,6510.6541,1711000.0,106.3,93.0,25,42.6,40.9,44.3,491.0,10.55,0,7057412
52,58,Peru,1,31773839,7405.1947,4419000.0,22.0,90.9,140,28.0,27.2,28.8,323.0,19.6,0,31773839
53,60,Nepal,1,28982771,1133.7893,1173000.0,192.2,45.2,166,24.1,22.8,25.3,44.0,8.1,0,28982771
54,61,Monaco,1,38499,164823.4258,347000.0,16271.5,99.0,1,53.1,51.7,54.5,3316.0,13.55,0,38499
55,62,Lithuania,1,2872298,21159.3993,2825000.0,55.0,99.6,15,43.7,39.7,47.1,923.0,6.2,0,2872298
56,64,Latvia,1,1960424,20200.4243,1946000.0,35.2,99.8,16,43.6,39.7,46.9,784.0,5.6,0,1960424
57,65,Jordan,1,9455802,4552.6208,4150000.0,64.0,91.3,178,22.5,22.9,22.0,257.0,18.3,0,9455802
58,66,Colombia,1,48653419,6933.7648,3904000.0,38.3,92.5,120,30.0,29.0,31.0,374.0,24.5,0,48653419
59,67,Cambodia,1,15762370,1753.0391,6201000.0,76.7,69.4,157,25.3,24.6,26.0,70.0,26.8,0,15762370
60,68,Bhutan,1,797765,3808.9289,274000.0,48.5,42.2,144,27.6,28.2,27.1,91.0,7.4,0,797765
61,69,Armenia,1,2924816,4680.0077,1652000.0,99.9,98.6,80,35.1,33.3,36.9,366.0,7.15,0,2924816
62,70,Andorra,1,77281,36994.8441,3042000.0,152.1,100.0,10,44.3,44.4,44.1,4316.0,7.6,0,77281
